name,price,bedroom_count,bathroom_count,price_per_m2,type,land_area,building_area,interior,floor_count,parking_spaces,construction_date,listing_date,latitude,longitude,map_link,developer,url_link
Rumah modern dikawasan super block,1200000000,3,2,13.333.333,Rumah Dijual,69,90,Tak Berperabot,,2,,2022-07-04,-6.367401,106.65508,"https://maps.google.com/maps?ll=-6.367401,106.65508&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-rumah-modern-dikawasan-super-block-oleh-sri-radonna-sinaga-17907676
CLUSTER BARU AKSES LANGSUNG JALAN RAYA UTAMA,1100000000,3,2,11.340.206,Rumah Dijual,70,97,,,2,,2022-06-26,-6.33158,106.889582,"https://maps.google.com/maps?ll=-6.33158,106.889582&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-cluster-baru-akses-langsung-jalan-raya-utama-oleh-kim-ro-mi-20075993
Rumah 2Lantai Luas 12x20 Type 4+1KT Cluster Palm Spring Jakarta Garden City,4900000000,4,3,20.416.667,Rumah Dijual,235,240,Lengkap,,2,,2022-06-12,-6.178626,106.953344,"https://maps.google.com/maps?ll=-6.178626,106.953344&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-rumah-2lantai-luas-12x20-type-4-1kt-cluster-palm-spring-jakarta-garden-city-oleh-william-tirta-19585291
"Rumah Mewah Di Jakarta Harga Termurah @ Wisteria Keppeland Dekat Aeon Mal, Ikea, Akses Tol",2139000000,4,2,25.464.286,Rumah Dijual,94,84,Tak Berperabot,,2,,2022-06-26,-6.187507,106.959384,"https://maps.google.com/maps?ll=-6.187507,106.959384&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-rumah-mewah-di-jakarta-harga-termurah-wisteria-keppeland-dekat-aeon-mal-ikea-akses-tol-oleh-meliana-20242752
Rumah Mewah Siap Huni Jarang Ada @ ASYA Jakarta,3800000000,5,5,30.158.730,Rumah Dijual,146,126,Tak Berperabot,,2,,2022-06-26,-6.178626,106.953344,"https://maps.google.com/maps?ll=-6.178626,106.953344&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-rumah-mewah-siap-huni-jarang-ada-asya-jakarta-oleh-maria-20243535
Rumah Mewah Perdana New Cluster Kelimutu @ ASYA Jakarta,4000000000,5,6,38.095.238,Rumah Dijual,105,105,Tak Berperabot,,1,,2022-06-26,-6.178626,106.953344,"https://maps.google.com/maps?ll=-6.178626,106.953344&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-rumah-mewah-perdana-new-cluster-kelimutu-asya-jakarta-oleh-maria-20243220
Cakung,1625000000,2,2,16.927.083,Rumah Dijual,130,96,Tak Berperabot,,1,,2022-07-06,0.7893,113.9213,"https://maps.google.com/maps?ll=0.7893,113.9213&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-cakung-oleh-lien-19959615
Cakung,1350000000,4,3,11.250.000,Rumah Dijual,150,120,,,,,2022-07-03,0.7893,113.9213,"https://maps.google.com/maps?ll=0.7893,113.9213&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-cakung-oleh-lia-p-s-20280664
Cakung,1650000000,3,3,13.750.000,Rumah Dijual,150,120,,,,,2022-07-03,0.7893,113.9213,"https://maps.google.com/maps?ll=0.7893,113.9213&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-cakung-oleh-lia-p-s-20280634
Cakung,1550000000,4,3,9.567.901,Rumah Dijual,100,162,,,,,2022-07-03,0.7893,113.9213,"https://maps.google.com/maps?ll=0.7893,113.9213&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-cakung-oleh-lia-p-s-20280608
