name,price,bedroom_count,bathroom_count,price_per_m2,type,land_area,building_area,interior,floor_count,parking_spaces,construction_date,listing_date,latitude,longitude,map_link,developer,url_link
Rumah modern dikawasan super block,1200000000,3,2,13.333.333,Rumah Dijual,69,90,Tak Berperabot,,2,,2022-07-04,-6.367401,106.65508,"https://maps.google.com/maps?ll=-6.367401,106.65508&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-rumah-modern-dikawasan-super-block-oleh-sri-radonna-sinaga-17907676
Jakarta Garden City,3800000000,4,4,30.158.730,Rumah Dijual,146,126,Tak Berperabot,,2,2022-12-01,2022-06-19,-6.178585,106.95334,"https://maps.google.com/maps?ll=-6.178585,106.95334&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",PT Modernland Realty Tbk,https://www.rumah.com/listing-properti/dijual-jakarta-garden-city-oleh-meliana-20192028
Wisteria,2000000000,3,3,23.809.524,Rumah Dijual,79,84,Tak Berperabot,,2,,2022-07-04,-6.178626,106.953344,"https://maps.google.com/maps?ll=-6.178626,106.953344&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-wisteria-oleh-maria-20174068
Cilincing,3600000000,4,3,20.111.732,Rumah Dijual,182,179,Tak Berperabot,,1,,2022-06-26,0.7893,113.9213,"https://maps.google.com/maps?ll=0.7893,113.9213&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-cilincing-oleh-lien-19849131
Cilincing Townhouse,933000000,3,2,13.328.571,Rumah Dijual,73,70,Tak Berperabot,,1,,2022-07-08,-6.137187,106.935938,"https://maps.google.com/maps?ll=-6.137187,106.935938&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-cilincing-townhouse-oleh-widi-ispiono-19703224
Dijual Rumah Cilincing,2800000000,6,3,7.909.605,Rumah Dijual,154,354,,,,,2022-06-26,-6.110166,106.944899,"https://maps.google.com/maps?ll=-6.110166,106.944899&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-dijual-rumah-cilincing-oleh-johan-20010579
Cilincing Jakarta Utara,3000000000,6,3,8.474.576,Rumah Dijual,154,354,,,6,,2022-06-26,0.7893,113.9213,"https://maps.google.com/maps?ll=0.7893,113.9213&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-cilincing-jakarta-utara-oleh-ami-20118762
"Cilincing, Jakarta Utara",1450000000,2,2,22.307.692,Rumah Dijual,90,65,,,,,2022-06-10,-6.110166,106.944899,"https://maps.google.com/maps?ll=-6.110166,106.944899&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-cilincing-jakarta-utara-oleh-obbie-20178989
Rumah termurah cilincing jakarta utara,415000000,2,1,10.375.000,Rumah Dijual,35,40,Tak Berperabot,,,,2022-07-05,,,,,https://www.rumah.com/listing-properti/dijual-rumah-termurah-cilincing-jakarta-utara-oleh-hudiyono-w-eri-19392494
Semper Barat Cilincing Jakarta Utara,2800000000,6,3,7.909.605,Rumah Dijual,154,354,,,6,,2022-06-12,0.7893,113.9213,"https://maps.google.com/maps?ll=0.7893,113.9213&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-semper-barat-cilincing-jakarta-utara-oleh-iin-maria-19585816
