name,price,bedroom_count,bathroom_count,price_per_m2,type,land_area,building_area,interior,floor_count,parking_spaces,construction_date,listing_date,latitude,longitude,map_link,developer,url_link
"Rumah Mewah Di Jakarta Harga Termurah @ Wisteria Keppeland Dekat Aeon Mal, Ikea, Akses Tol",2139000000,4,2,25.464.286,Rumah Dijual,94,84,Tak Berperabot,,2,,2022-06-27,-6.187507,106.959384,"https://maps.google.com/maps?ll=-6.187507,106.959384&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-rumah-mewah-di-jakarta-harga-termurah-wisteria-keppeland-dekat-aeon-mal-ikea-akses-tol-oleh-meliana-20242752
Permata Gading Residence,4700000000,5,4,34.558.824,Rumah Dijual,400,136,Lengkap,,2,,2022-07-04,-6.148831,106.92171,"https://maps.google.com/maps?ll=-6.148831,106.92171&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-permata-gading-residence-oleh-yuana-20254027
"Rumah Mewah Di Jakarta Harga Termurah @ Wisteria Keppeland Dekat Aeon Mal, Ikea, Akses Tol Cluster W",2139000000,4,2,25.464.286,Rumah Dijual,94,84,,,,,2022-06-20,,,,,https://www.rumah.com/listing-properti/dijual-rumah-mewah-di-jakarta-harga-termurah-wisteria-keppeland-dekat-aeon-mal-ikea-akses-tol-cluster-w-oleh-maria-18979278
Rumah murah 3 Lantai Perumahan The Gading Residence lt 422m hrg 6. 7Mly Kelapa Gading Jakarta Utara,6700000000,4,4,15.876.777,Rumah Dijual,800,422,,,2,,2022-06-20,-6.161309,106.904982,"https://maps.google.com/maps?ll=-6.161309,106.904982&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-rumah-murah-3-lantai-perumahan-the-gading-residence-lt-422m-hrg-6-7mly-kelapa-gading-jakarta-utara-oleh-lisa-hafrizal-20199078
Kelapa gading,6000000000,5,6,13.605.442,Rumah Dijual,500,441,Tak Berperabot,,3,,2022-07-07,-6.161309,106.904982,"https://maps.google.com/maps?ll=-6.161309,106.904982&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-kelapa-gading-oleh-stephanie-20305416
Kelapa gading,3700000000,5,4,30.833.333,Rumah Dijual,220,120,,,,,2022-07-10,0.7893,113.9213,"https://maps.google.com/maps?ll=0.7893,113.9213&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-kelapa-gading-oleh-raymond-20319022
kelapa gading,2400000000,4,2,23.529.412,Rumah Dijual,144,102,Sebagian,,1,,2022-07-09,-6.161309,106.904982,"https://maps.google.com/maps?ll=-6.161309,106.904982&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-kelapa-gading-oleh-yuriani-20318499
Kelapa Gading,4000000000,5,5,26.666.667,Rumah Dijual,300,150,Tak Berperabot,,3,,2022-07-09,0.7893,113.9213,"https://maps.google.com/maps?ll=0.7893,113.9213&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-kelapa-gading-oleh-ajati-wigono-19988179
Kelapa Gading,1500000000,3,2,25.000.000,Rumah Dijual,90,60,Tak Berperabot,,1,,2022-07-09,0.7893,113.9213,"https://maps.google.com/maps?ll=0.7893,113.9213&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-kelapa-gading-oleh-ajati-wigono-20003814
Kelapa gading,828175000,3,2,13.802.917,Rumah Dijual,60,60,Tak Berperabot,,1,,2022-07-09,-6.149187,106.903063,"https://maps.google.com/maps?ll=-6.149187,106.903063&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-kelapa-gading-oleh-widi-ispiono-19703446
